frame,time_sec,slot_id,track_id,img_foot_x,img_foot_y,court_x_m,court_y_m
10,0.333,0,1,860,529,2.371,3.118
11,0.367,0,1,865,529,2.409,3.118
12,0.4,0,1,867,555,2.437,3.813
13,0.433,1,0,974,458,3.253,1.064
13,0.433,0,1,912,461,2.75,1.153
14,0.467,1,0,882,514,2.532,2.704
14,0.467,0,1,869,543,2.446,3.496
15,0.5,1,0,876,560,2.507,3.944
15,0.5,0,1,989,581,3.344,4.484
16,0.533,1,0,872,566,2.48,4.099
16,0.533,0,1,964,668,3.155,6.528
17,0.567,1,0,872,568,2.481,4.15
17,0.567,0,1,960,728,3.124,7.791
18,0.6,1,0,867,568,2.444,4.15
18,0.6,0,1,960,727,3.125,7.771
19,0.633,1,0,873,583,2.495,4.53
19,0.633,0,1,960,850,3.12,10.057
20,0.667,1,0,871,596,2.486,4.852
20,0.667,0,1,957,842,3.102,9.919
21,0.7,1,0,845,578,2.287,4.403
21,0.7,0,1,959,856,3.113,10.159
22,0.733,1,0,885,621,2.597,5.454
22,0.733,0,1,958,867,3.107,10.344
23,0.767,1,0,886,621,2.604,5.454
23,0.767,0,1,958,867,3.107,10.344
24,0.8,1,0,892,632,2.65,5.712
24,0.8,0,1,958,875,3.107,10.478
25,0.833,1,0,902,634,2.721,5.759
25,0.833,0,1,958,886,3.106,10.658
26,0.867,1,0,903,634,2.728,5.759
26,0.867,0,1,952,900,3.071,10.885
27,0.9,1,0,908,594,2.754,4.804
27,0.9,0,1,949,912,3.053,11.076
28,0.933,1,0,911,594,2.776,4.804
28,0.933,0,1,949,912,3.053,11.076
29,0.967,1,0,911,594,2.776,4.804
29,0.967,0,1,925,924,2.915,11.263
30,1.0,1,0,911,594,2.776,4.804
30,1.0,0,1,938,935,2.991,11.434
31,1.033,1,0,917,614,2.823,5.289
31,1.033,0,1,951,934,3.065,11.419
32,1.067,1,0,926,598,2.885,4.903
32,1.067,0,1,951,937,3.065,11.465
33,1.1,1,0,928,598,2.899,4.903
33,1.1,0,1,951,937,3.065,11.465
34,1.133,1,0,931,561,2.917,3.972
34,1.133,0,1,942,938,3.014,11.48
35,1.167,1,0,929,560,2.902,3.946
35,1.167,0,1,941,936,3.008,11.449
36,1.2,1,0,929,554,2.901,3.789
36,1.2,0,1,919,921,2.88,11.216
37,1.233,1,0,937,555,2.961,3.816
37,1.233,0,1,926,921,2.921,11.217
38,1.267,1,0,938,555,2.969,3.816
38,1.267,0,1,926,921,2.921,11.217
39,1.3,1,0,950,560,3.058,3.946
39,1.3,0,1,927,924,2.927,11.263
40,1.333,1,0,963,560,3.155,3.947
40,1.333,0,1,925,927,2.915,11.31
41,1.367,1,0,959,583,3.124,4.533
41,1.367,0,1,923,930,2.904,11.356
42,1.4,1,0,965,560,3.17,3.947
42,1.4,0,1,927,931,2.927,11.372
43,1.433,1,0,976,558,3.252,3.895
43,1.433,0,1,927,905,2.925,10.964
44,1.467,1,0,976,557,3.252,3.869
44,1.467,0,1,926,919,2.92,11.185
45,1.5,1,0,970,553,3.208,3.764
45,1.5,0,1,929,932,2.939,11.387
46,1.533,1,0,990,534,3.362,3.259
46,1.533,0,1,933,938,2.962,11.48
47,1.567,1,0,979,535,3.279,3.285
47,1.567,0,1,939,940,2.996,11.51
48,1.6,1,0,979,535,3.279,3.285
48,1.6,0,1,939,938,2.996,11.48
49,1.633,1,0,998,521,3.427,2.903
49,1.633,0,1,945,948,3.031,11.632
50,1.667,1,0,996,538,3.407,3.367
50,1.667,0,1,957,961,3.099,11.827
51,1.7,1,0,979,575,3.272,4.332
51,1.7,0,1,965,967,3.144,11.916
52,1.733,1,0,996,554,3.403,3.792
52,1.733,0,1,967,981,3.154,12.121
53,1.767,1,0,1010,554,3.507,3.792
53,1.767,0,1,967,981,3.154,12.121
54,1.8,1,0,1020,550,3.584,3.687
54,1.8,0,1,971,976,3.177,12.049
55,1.833,1,0,1021,550,3.591,3.687
55,1.833,0,1,972,977,3.182,12.063
56,1.867,1,0,1021,550,3.591,3.687
56,1.867,0,1,978,992,3.214,12.28
57,1.9,1,0,1034,549,3.69,3.662
57,1.9,0,1,989,1009,3.273,12.522
58,1.933,1,0,1033,549,3.682,3.662
58,1.933,0,1,989,992,3.275,12.281
59,1.967,1,0,1047,555,3.784,3.82
59,1.967,0,1,1012,999,3.401,12.381
60,2.0,1,0,1062,573,3.884,4.285
60,2.0,0,1,990,1004,3.279,12.451
61,2.033,1,0,1062,586,3.876,4.612
61,2.033,0,1,980,1009,3.224,12.521
62,2.067,1,0,1062,585,3.876,4.587
62,2.067,0,1,971,1011,3.174,12.549
63,2.1,1,0,1062,585,3.876,4.587
63,2.1,0,1,971,1011,3.174,12.549
64,2.133,1,0,1050,586,3.788,4.611
64,2.133,0,1,977,1012,3.207,12.563
65,2.167,1,0,1061,586,3.868,4.612
65,2.167,0,1,986,1013,3.256,12.578
66,2.2,1,0,1060,586,3.861,4.612
66,2.2,0,1,998,1013,3.322,12.578
67,2.233,1,0,1056,586,3.832,4.612
67,2.233,0,1,1008,1005,3.378,12.466
68,2.267,1,0,1056,586,3.832,4.612
68,2.267,0,1,1008,1005,3.378,12.466
69,2.3,1,0,1052,584,3.804,4.562
69,2.3,0,1,1014,1010,3.41,12.536
70,2.333,1,0,1051,579,3.799,4.436
70,2.333,0,1,1001,1006,3.339,12.48
71,2.367,1,0,1057,573,3.847,4.284
71,2.367,0,1,1002,1008,3.345,12.508
72,2.4,1,0,1055,573,3.832,4.284
72,2.4,0,1,996,1008,3.312,12.508
73,2.433,1,0,1055,573,3.832,4.284
73,2.433,0,1,999,1007,3.328,12.494
74,2.467,1,0,1041,573,3.729,4.284
74,2.467,0,1,997,1006,3.317,12.48
75,2.5,1,0,1063,573,3.891,4.285
75,2.5,0,1,995,1002,3.307,12.423
76,2.533,1,0,1074,573,3.972,4.285
76,2.533,0,1,992,1006,3.29,12.48
77,2.567,1,0,1086,564,4.068,4.055
77,2.567,0,1,995,1006,3.306,12.48
78,2.6,1,0,1085,564,4.061,4.055
78,2.6,0,1,995,1006,3.306,12.48
79,2.633,1,0,1063,559,3.901,3.925
79,2.633,0,1,998,983,3.326,12.151
80,2.667,1,0,1089,528,4.121,3.099
80,2.667,0,1,998,975,3.328,12.035
81,2.7,1,0,1095,534,4.161,3.263
81,2.7,0,1,997,967,3.323,11.917
82,2.733,1,0,1116,533,4.322,3.236
82,2.733,0,1,994,960,3.308,11.813
83,2.767,1,0,1116,533,4.322,3.236
83,2.767,0,1,994,960,3.308,11.813
84,2.8,1,0,1109,524,4.278,2.99
84,2.8,0,1,987,952,3.269,11.693
85,2.833,1,0,1106,515,4.264,2.741
85,2.833,0,1,982,946,3.241,11.603
86,2.867,1,0,1120,497,4.392,2.231
86,2.867,0,1,978,927,3.22,11.311
87,2.9,1,0,1113,492,4.342,2.086
87,2.9,0,1,974,922,3.198,11.233
88,2.933,1,0,1113,492,4.342,2.086
88,2.933,0,1,975,922,3.204,11.233
